no,SKU,Nama,kategori,satuan,merek,stok keluar,stok masuk,stok tersedia,stok minimal,barcode,lokasi penyimpanan,kadaluarsa,warna,ukuran,p,l,t,keterangan,,
1,SK0001,REDMI NOTE 10,STANDING EASEL,PCS,XIAOMI,13,0,977,1,BR0001,,01 AGU 2022,,,26,10,24,,,
2,SK0002,REDMI NOTE 10 PRO,TRAY,PCS,XIAOMI,4,0,939,1,BR0002,,01 AGU 2022,,,26,10,24,,,
3,SK0003,REDMI NOTE 10 5G Insertion,ACRYLIC,PCS,XIAOMI,0,0,100,1,BR0003,,01 AGU 2022,,,44,13,5,,,
4,SK0004,AKRYLIC PROPS MI WATCH,ACRYLIC,PCS,XIAOMI,8,0,9,1,BR0004,,01 AGU 2022,,,17,25,10,,,
5,SK0005,Akrylic Flyer,ACRYLIC,PCS,XIAOMI,521,650,621,1,BR0005,,01 AGU 2022,,,36,20,14,,,
6,SK0006,Akrylic POP 4,ACRYLIC,PCS,XIAOMI,1340,0,524,1,BR0006,,01 AGU 2022,,,21,30,7,,,
7,SK0007,Dummy Stand Acrylic,ACRYLIC,PCS,XIAOMI,23,0,655,1,BR0007,,01 AGU 2022,,,28,19,10,,,
8,SK0008,LUMINOUS Mi 108 MP DESKTOP LUMINOS WORDS,TRAY,PCS,XIAOMI,8,0,117,1,BR0008,,01 AGU 2022,,,9,14,55,,,
9,SK0009,Akrylic Best Price,ACRYLIC,PCS,XIAOMI,36,0,468,1,BR0009,,01 AGU 2022,,,10,6,10,,,
10,SK0010,Akrylic New Arrival,ACRYLIC,PCS,XIAOMI,36,0,468,1,BR0010,,01 AGU 2022,,,10,6,10,,,
11,SK0011,Balon Orange,BALON,PCS,XIAOMI,175,0,28455,1,BR0011,,01 AGU 2022,,,45,4,1,,,
12,SK0012,Balon Putih,BALON,PCS,XIAOMI,175,0,15820,1,BR0012,,01 AGU 2022,,,45,4,1,,,
13,SK0013,BLACK MI BAND 6,ACRYLIC,PCS,XIAOMI,11,0,312,1,BR0013,,01 AGU 2022,,,28,14,11,,,
14,SK0014,MI BAND DISPLAY PROP V1,TRAY,PCS,XIAOMI,64,0,0,1,BR0014,,01 AGU 2022,,,24,14,11,,,
15,SK0015,K82 TRAY I PAD 5,TRAY,PCS,XIAOMI,19,0,54,1,BR0015,,01 AGU 2022,,,33,14,11,,,
16,SK0016,BUGLAR ALARM WITH ACCESSORIES,ALARM,PCS,XIAOMI,11,0,149,1,BR0016,,01 AGU 2022,,,14,9,13,,,
17,SK0017,"MI TV BEZEEL LESS 55\""inc",WOBBLER,PCS,XIAOMI,16,0,448,1,BR0017,,01 AGU 2022,,,55,40,1,,,
18,SK0018,"MI TV BEZEEL LESS 43\""inc",WOBBLER,PCS,XIAOMI,36,0,422,1,BR0018,,01 AGU 2022,,,55,40,1,,,
19,SK0019,"MI TV BEZEEL LESS 32\""inc",WOBBLER,PCS,XIAOMI,16,0,147,1,BR0019,,01 AGU 2022,,,55,40,1,,,
20,SK0020,"MI TV 4 32\"" inc",WOBBLER,PCS,XIAOMI,12,0,285,1,BR0020,,01 AGU 2022,,,55,40,1,,,
21,SK0021,"MI TV 4 43\"" inc",WOBBLER,PCS,XIAOMI,14,1,308,1,BR0021,,01 AGU 2022,,,55,40,1,,,
22,SK0022,"MI TV 4 55\"" inc",WOBBLER,PCS,XIAOMI,17,0,0,1,BR0022,,01 AGU 2022,,,55,40,1,,,
23,SK0023,Sandisk USB,USB,PCS,XIAOMI,2,0,-1,1,BR0023,,01 AGU 2022,,,28,14,9,,,
24,SK0024,Akrylic Hanging Price,ACRYLIC,PCS,XIAOMI,0,0,3350,1,BR0024,,01 AGU 2022,,,21,7,7,,,
25,SK0025,MASKER,MASKER,PCS,XIAOMI,0,0,9001,1,BR0025,,01 AGU 2022,,,20,12,1,,,
26,SK0026,F1 CELL PHONE TRAY,TRAY,PCS,XIAOMI,12,0,102,1,BR0026,,01 AGU 2022,,,25,39,11,,,
27,SK0027,F1 STACK LIGTH,TRAY,PCS,XIAOMI,0,0,319,1,BR0027,,01 AGU 2022,,,41,21,20,,,
28,SK0028,REDMI NOTE 10 INSERT PRICE,ACRYLIC,PCS,XIAOMI,0,0,1260,1,BR0028,,01 AGU 2022,,,20,15,1,,,
29,SK0029,K11 KSP BOARD,ACRYLIC,PCS,XIAOMI,0,0,28,1,BR0029,,01 AGU 2022,,,26,14,6,,,
30,SK0030,K2-MI PRO,TRAY,PCS,XIAOMI,0,0,296,1,BR0030,,01 AGU 2022,,,28,28,10,,,
31,SK0031,K1-MI PRO,TRAY,PCS,XIAOMI,0,0,95,1,BR0031,,01 AGU 2022,,,28,28,20,,,
32,SK0032,Balon Gate Besar,BALON,PCS,XIAOMI,0,0,69,1,BR0032,,01 AGU 2022,,,97,59,20,,,
33,SK0033,Balon Gate Kecil,BALON,PCS,XIAOMI,0,0,148,1,BR0033,,01 AGU 2022,,,70,58,10,,,
34,SK0034,Blower 250w,BALON,PCS,XIAOMI,0,0,166,1,BR0034,,01 AGU 2022,,,32,32,17,,,
35,SK0035,Blower 550w,BALON,PCS,XIAOMI,0,0,96,1,BR0035,,01 AGU 2022,,,37,37,18,,,
36,SK0036,REDMI NOTE 10 NON SEREIES LUMINOUS,TRAY,PCS,XIAOMI,1,0,1,1,BR0036,,01 AGU 2022,,,45,27,10,,,
37,SK0037,Lighted Floor 5G,ACRYLIC,PCS,XIAOMI,5,0,1,1,BR0037,,01 AGU 2022,,,90,17,88,,,
38,SK0038,ACRYLIC TRAY REDMIBOOK 15,ACRYLIC,PCS,XIAOMI,9,0,1,1,BR0038,,01 AGU 2022,,,45,7,80,,,
39,SK0039,K3S MOBILE PHONE TRAY 11T Pro,TRAY,PCS,XIAOMI,19,0,109,1,BR0039,,01 AGU 2022,,,33,16,8,,,
40,SK0040,REDMI BUDS 3 PRO DISPLAY,STANDING EASEL,PCS,XIAOMI,0,0,16,1,BR0040,,01 AGU 2022,,,26,25,20,,,
41,SK0041,Mi Watch Lite Dummy,DUMMY,PCS,XIAOMI,0,0,233,1,BR0041,,01 AGU 2022,,,10,8,10,,,
42,SK0042,Mi Watch Lite 2 Acrylic + Base,ACRYLIC,PCS,XIAOMI,6,0,94,1,BR0042,,01 AGU 2022,,,10,22,19,,,
43,SK0043,Phone Poster POCO,POSTER,PCS,XIAOMI,8,0,77,1,BR0043,,01 AGU 2022,,,50,23,1,,,
44,SK0044,PHONE BAND BUDS DISPLAY PROPS,TRAY,PCS,XIAOMI,9,0,47,1,BR0044,,01 AGU 2022,,,40,26,20,,,
45,SK0045,POUCH SPIDERMAN,POUCH,PCS,XIAOMI,0,0,294,1,BR0045,,01 AGU 2022,,,19,14,1,,,
46,SK0046,TENTCARD IG SCAN BARCODE,FLYER,PCS,XIAOMI,0,0,200,1,BR0046,,01 AGU 2022,,,24,17,1,,,
47,SK0047,HAMPERS,HAMPERS,PCS,XIAOMI,18,0,3,1,BR0047,,01 AGU 2022,,,29,18,30,,,
48,SK0048,Lanyard/Card Holder,LANYARD,PCS,XIAOMI,0,0,12,1,BR0048,,01 AGU 2022,,,13,10,1,,,
49,SK0049,Lanyard/Card Holder NEW,LANYARD,PCS,XIAOMI,41,25,13,1,BR0049,,01 AGU 2022,,,60,6,1,,,
50,SK0050,Flyer RN 11 Jawara Semua Tantangan,FLYER,PCS,XIAOMI,0,0,5000,1,BR0050,,01 AGU 2022,,,29,9,15,,,
51,SK0051,KSP Props,TRAY,PCS,XIAOMI,10,0,245,1,BR0051,,01 AGU 2022,,,37,16,8,,,
52,SK0052,Acrylic Available Soon,ACRYLIC,PCS,XIAOMI,36,0,489,1,BR0052,,01 AGU 2022,,,10,6,10,,,
53,SK0053,SmartPhone Tray Double (K6S-K7T),TRAY,PCS,XIAOMI,68,0,530,1,BR0053,,01 AGU 2022,,,50,26,8,,,
54,SK0054,SingleStand Phone K67,TRAY,PCS,XIAOMI,649,0,1389,1,BR0054,,01 AGU 2022,,,35,20,6,,,
55,SK0055,SingleStand Phone K7T,TRAY,PCS,XIAOMI,37,0,501,1,BR0055,,01 AGU 2022,,,35,20,6,,,
56,SK0056,Acrylic Insertion Note 11 series,ACRYLIC,PCS,XIAOMI,8,0,568,1,BR0056,,01 AGU 2022,,,44,13,5,,,
57,SK0057,HAT CROWN,HATCROWN,PCS,XIAOMI,0,0,95,1,BR0057,,01 AGU 2022,,,65,9,5,,,
58,SK0058,LEAFLET XIAOMI 11 SERIES,FLYER,PCS,XIAOMI,0,0,5000,1,BR0058,,01 AGU 2022,,,25,5,15,,,
59,SK0059,HANGING BANNER REDMI NOTE 11 SERIES,HANGING,PCS,XIAOMI,0,0,2,1,BR0059,,01 AGU 2022,,,90,60,1,,,
60,SK0060,BACK STICKER POCO M4,STICKER,PCS,XIAOMI,0,0,1,1,BR0060,,01 AGU 2022,,,8,5,1,,,
61,SK0061,Creative Visual Prop,TRAY,PCS,XIAOMI,4,0,70,1,BR0061,,01 AGU 2022,,,50,15,31,,,
62,SK0062,Luminous Character Prop,TRAY,PCS,XIAOMI,7,0,178,1,BR0062,,01 AGU 2022,,,48,24,17,,,
63,SK0063,L2/L3 Tray Prop Xiaomi 12 (Pro),TRAY,PCS,XIAOMI,83,0,1053,1,BR0063,,01 AGU 2022,,,40,20,6,,,
64,SK0064,Mika Tray Xiaomi 12 L3,STANDING EASEL,PCS,XIAOMI,68,0,846,1,BR0064,,01 AGU 2022,,,12,9,1,,,
